HostName,Name,IP_DESCRIPTION,DefinitionRecord,IP_PLANT_AREA,IP_ENG_UNITS,IP_VALUE_FORMAT,IP_DC_SIGNIFICANCE,IP_DC_MAX_TIME_INT,IP_GRAPH_MAXIMUM,IP_GRAPH_MINIMUM,IP_STEPPED,IP_MESSAGE_SWITCH,IP_HIGH_HIGH_LIMIT,IP_HIGH_LIMIT,IP_LOW_LIMIT,IP_LOW_LOW_LIMIT,IP_LIMIT_DEADBAND,IP_TREND_VIEW_TIME,IP_REPOSITORY,IP_ARCHIVING,IP_BF_REPOSITORY,IP_BF_ARCHIVING,IP_#_OF_TREND_VALUES,IP_#_OF_BF_VALUES,CIMIO_Definition,CIMIO_Name,CIMIO_IO_RECORD_PROCESSING,CIM_IO_ASYNC,CIMIO_IO_TIMEOUT_VALUE,CIMIO_IO_FREQUENCY,CIMIO_TAG_IO_DATA_TYPE,CIMIO_TAG_IO_VALUE_RECORD,CIMIO_ORIGINAL_Name,IP_VALUE_TIME,IP_VALUE
BEJEMMS01-SV01,FID8502C_VOLT,Vol total NaOH CH1,IP_SLV_ADef,UPHCL,l,F10. 3,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8502C_VOLT IP_INPUT_VALUE,FID8502C_VOLT,2016-04-07 01:30:41.400,2486730.0
BEJEMMS01-SV01,FID8504B,Production chaine 1,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.15000000596046448,360000.0,150.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8504B IP_INPUT_VALUE,FID8504B,2016-04-07 08:56:23.100,87.6905517578125
BEJEMMS01-SV01,FID8504B_VOLP,Vol part sortie CH1,IP_SLV_ADef,UPHCL,m3,F 7. 0,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8504B_VOLP IP_INPUT_VALUE,FID8504B_VOLP,2016-04-06 22:59:32.300,1967.0
BEJEMMS01-SV01,FID8504B_VOLT,Vol total sortie CH1,IP_SLV_ADef,UPHCL,m3,F10. 3,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8504B_VOLT IP_INPUT_VALUE,FID8504B_VOLT,2016-04-07 01:30:41.400,4897488.5
BEJEMMS01-SV01,FID8521C,Q entree CH 2,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.20000000298023224,360000.0,200.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8521C IP_INPUT_VALUE,FID8521C,2016-04-07 08:56:23.100,208.99998474121094
BEJEMMS01-SV01,FID8521F_VOLP,Vol part sortie CT CH2,IP_SLV_ADef,UPHCL,m3,F 7. 0,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8521F_VOLP IP_INPUT_VALUE,FID8521F_VOLP,2016-04-07 05:49:53.100,1900.0001220703125
BEJEMMS01-SV01,FID8521F_VOLT,Vol total sortie CT CH2,IP_SLV_ADef,UPHCL,m3,F10. 3,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8521F_VOLT IP_INPUT_VALUE,FID8521F_VOLT,2016-04-07 01:30:41.400,23700758.0
BEJEMMS01-SV01,FID8522C,Q entree CH 3,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.20000000298023224,360000.0,200.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8522C IP_INPUT_VALUE,FID8522C,2016-04-07 08:56:23.100,208.99998474121094
BEJEMMS01-SV01,FID8522F_VOLP,Vol part sortie CT CH 3,IP_SLV_ADef,UPHCL,m3,F 7. 0,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8522F_VOLP IP_INPUT_VALUE,FID8522F_VOLP,2016-04-07 04:57:59.800,0.0
BEJEMMS01-SV01,FID8522F_VOLT,Vol total sortie CT CH 3,IP_SLV_ADef,UPHCL,m3,F10. 3,5000.0,360000.0,5000000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8522F_VOLT IP_INPUT_VALUE,FID8522F_VOLT,2016-04-07 01:30:41.400,25216164.0
