HostName,Name,IP_DESCRIPTION,DefinitionRecord,IP_PLANT_AREA,IP_ENG_UNITS,IP_VALUE_FORMAT,IP_DC_SIGNIFICANCE,IP_DC_MAX_TIME_INT,IP_GRAPH_MAXIMUM,IP_GRAPH_MINIMUM,IP_STEPPED,IP_MESSAGE_SWITCH,IP_HIGH_HIGH_LIMIT,IP_HIGH_LIMIT,IP_LOW_LIMIT,IP_LOW_LOW_LIMIT,IP_LIMIT_DEADBAND,IP_TREND_VIEW_TIME,IP_REPOSITORY,IP_ARCHIVING,IP_BF_REPOSITORY,IP_BF_ARCHIVING,IP_#_OF_TREND_VALUES,IP_#_OF_BF_VALUES,CIMIO_Definition,CIMIO_Name,CIMIO_IO_RECORD_PROCESSING,CIM_IO_ASYNC,CIMIO_IO_TIMEOUT_VALUE,CIMIO_IO_FREQUENCY,CIMIO_TAG_IO_DATA_TYPE,CIMIO_TAG_IO_VALUE_RECORD,CIMIO_ORIGINAL_Name,IP_VALUE_TIME,IP_VALUE
DEBBGMS01-SV01,TIB33128_A,DTG2 Temp. unten (Fuss),IP_AnalogDef,L_S_A_,°C,F15. 8,0.20000000298023224,288000.0,200.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,3,0.0,IoGetDef,readxferSLV10a,1,1,1800,100,0,TIB33128_A IP_INPUT_VALUE,TIB33128_A,2025-06-24 23:00:17.100,47.77069091796875
DEBBGMS01-SV01,L.FLR_INLET_DS_TOTAL,Sum of total L.FLR inlet DS,IP_AnalogDef,Calc,m3/h,F 9. 3,,0.0,800.0,0.0,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,L.FLR_INLET_DS_TOTAL,2025-06-24 23:28:45.100,275.1211242675781
DEBBGMS01-SV01,TI-H43_0029_A,AMRA TR 3: Taupunkt,IP_AnalogDef,L_S_A_,°C,F 7. 2,0.11999999731779099,144000.0,20.0,-100.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,TI-H43_0029_A IP_INPUT_VALUE,TI-H43_0029_A,2020-06-23 11:40:59.400,-130.0
DEBBGMS01-SV01,TI-H43_0030_A,AMRA TR 3: Temp. oben,IP_AnalogDef,L_S_A_,°C,F 7. 2,0.44999998807907104,144000.0,400.0,-50.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,TI-H43_0030_A IP_INPUT_VALUE,TI-H43_0030_A,2020-06-23 11:40:59.400,-162.4892578125
DEBBGMS01-SV01,TI-H43_0031_A,AMRA TR 3: Temp. unten,IP_AnalogDef,L_S_A_,°C,F 7. 2,0.44999998807907104,144000.0,400.0,-50.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,TI-H43_0031_A IP_INPUT_VALUE,TI-H43_0031_A,2020-06-23 11:40:59.400,-162.42489624023438
DEBBGMS01-SV01,PI-H43_0032_A,AMRA TR 3: Druck H4T30-1,IP_AnalogDef,L_S_A_,bar,F 7. 2,0.01600000075995922,144000.0,16.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,PI-H43_0032_A IP_INPUT_VALUE,PI-H43_0032_A,2020-06-23 11:40:59.400,-3.999236822128296
DEBBGMS01-SV01,PI-H43_0033_A,AMRA TR 3: Druck H4T30-2,IP_AnalogDef,L_S_A_,bar,F 7. 2,0.01600000075995922,144000.0,16.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,PI-H43_0033_A IP_INPUT_VALUE,PI-H43_0033_A,2020-06-23 11:40:59.400,-3.999236822128296
DEBBGMS01-SV01,II-H43_0034_A,AMRA TR 3: Strom H4V33,IP_AnalogDef,L_S_A_,A,F 7. 2,0.02500000037252903,144000.0,25.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,II-H43_0034_A IP_INPUT_VALUE,II-H43_0034_A,2020-06-23 11:40:59.400,-6.248807430267334
DEBBGMS01-SV01,FI-H40_0013_A,Ar-Luft: Dfl. H2O2,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.38999998569488525,144000.0,390.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0013_A IP_INPUT_VALUE,FI-H40_0013_A,2025-06-24 23:28:33.200,237.35385131835938
DEBBGMS01-SV01,FI-H40_0014_A,Ar-Luft: Dfl. gesamt,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,5.0,144000.0,5000.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0014_A IP_INPUT_VALUE,FI-H40_0014_A,2025-06-24 23:28:33.200,2304.159912109375
DEBBGMS01-SV01,FI-H40_0017_A,Ar-Luft: Dfl.,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,1.5679999589920044,144000.0,1568.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0017_A IP_INPUT_VALUE,FI-H40_0017_A,2025-06-24 21:51:49.200,-390.5583801269531
DEBBGMS01-SV01,FI-H40_0018_A,Ar-Luft: Dfl. Entstaub.,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.05130000039935112,144000.0,51.29999923706055,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0018_A IP_INPUT_VALUE,FI-H40_0018_A,2025-06-24 19:59:21.400,0.0
DEBBGMS01-SV01,FI-H40_0019_A,Ar-Luft: Dfl. SD 2,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,1.2050000429153442,144000.0,1205.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0019_A IP_INPUT_VALUE,FI-H40_0019_A,2025-06-24 23:28:33.200,29.250701904296875
DEBBGMS01-SV01,FI-H40_0022_A,Ar-Luft: Dfl. DS11/21/31,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.05000000074505806,144000.0,50.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0022_A IP_INPUT_VALUE,FI-H40_0022_A,2025-06-24 23:28:23.100,6.1092448234558105
DEBBGMS01-SV01,FI-H40_0023_A,Ar-Luft: Dfl. Kalk. Nord,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.2092999964952469,144000.0,209.3000030517578,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0023_A IP_INPUT_VALUE,FI-H40_0023_A,2025-06-24 23:28:33.200,38.13192367553711
DEBBGMS01-SV01,FI-H40_0024_A,Ar-Luft: Dfl. Kalk. Süd,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.25,144000.0,250.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0024_A IP_INPUT_VALUE,FI-H40_0024_A,2025-06-24 23:28:33.200,32.39714050292969
DEBBGMS01-SV01,FI-H40_0025_A,Ar-Luft: Dfl. BICAR ges.,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,1.2300000190734863,144000.0,1230.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0025_A IP_INPUT_VALUE,FI-H40_0025_A,2025-06-24 23:28:33.200,1122.9287109375
DEBBGMS01-SV01,FI-H40_0029_A,Ar-Luft: Dfl. BICAR Verl.,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.6800000071525574,144000.0,680.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0029_A IP_INPUT_VALUE,FI-H40_0029_A,2025-06-24 23:28:33.200,59.85975646972656
DEBBGMS01-SV01,FI-H40_0030_A,Ar-Luft: Dfl. BICAR Restf.,IP_AnalogDef,L_S_A_,Nm3/h,F 7. 2,0.28949999809265137,144000.0,289.5,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-H40_0030_A IP_INPUT_VALUE,FI-H40_0030_A,2025-06-24 23:28:33.200,199.97549438476562
DEBBGMS01-SV01,FI-A21_0034_A,"CL 4 Dfl. GR-Gas 2,5 bar",IP_AnalogDef,L_S_A_,m3/h,F 7. 2,1.0,144000.0,1000.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-A21_0034_A IP_INPUT_VALUE,FI-A21_0034_A,2025-06-24 19:59:31.500,-0.0858226791024208
DEBBGMS01-SV01,FI-A21_0042_A,"CL 2 Dfl. GP-Gas 1,5 bar",IP_AnalogDef,L_S_A_,m3/h,F 7. 2,2.0,144000.0,2000.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-A21_0042_A IP_INPUT_VALUE,FI-A21_0042_A,2025-06-24 23:25:52.600,865.5737915039062
DEBBGMS01-SV01,FI-A21_0044_A,"CL 4 Dfl. GP-Gas 1,5 bar",IP_AnalogDef,L_S_A_,m3/h,F 7. 2,2.0,144000.0,2000.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,FI-A21_0044_A IP_INPUT_VALUE,FI-A21_0044_A,2025-06-24 19:59:31.500,-0.2193298041820526
DEBBGMS01-SV01,TI-A21_0092_A,CL 2 Temp. KW RL,IP_AnalogDef,L_S_A_,°C,F 7. 2,0.10000000149011612,144000.0,100.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,TI-A21_0092_A IP_INPUT_VALUE,TI-A21_0092_A,2025-06-24 23:19:01.200,38.39646911621094
DEBBGMS01-SV01,TI-A21_0094_A,CL 4 Temp. KW RL,IP_AnalogDef,L_S_A_,°C,F 7. 2,0.10000000149011612,144000.0,100.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,2,0.0,IoGetDef,Xfer010AI010_2,1,1,50,100,0,TI-A21_0094_A IP_INPUT_VALUE,TI-A21_0094_A,2025-06-24 23:08:38.600,29.620147705078125
DEBBGMS01-SV01,TCM3048_A,Temp. Regelung WAW-Koll.,IP_AnalogDef,L_S_A_,°C,F15. 8,0.10000000149011612,18000.0,100.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,3,0.0,IoGetDef,readxferSLV30,1,1,1800,300,0,TCM3048_A IP_INPUT_VALUE,TCM3048_A,2025-06-24 23:25:57.100,22.42145538330078
DEBBGMS01-SV01,TCM3048_B,Temp. Regelung WAW-Koll.,IP_AnalogDef,L_S_A_,°C,F15. 8,0.10000000149011612,18000.0,100.0,0.0,0.0,0.0,,,,,,0,sodaash,1,,0.0,3,0.0,IoGetDef,readxferSLV120,1,1,1800,1200,0,TCM3048_B IP_INPUT_VALUE,TCM3048_B,2025-06-24 23:09:02.000,15.0
